Number,Name,AverageLifeSpan,WateringFrequency,Sunshine,Temperature,HeightMeter
1,Peace lily,3-5 years,Every 2-3 days,Every 6 weeks,tropical,0.4
2,Fiddle-leaf fig,10-15 years,Wait till the top layer of soil dry,Preferably daily,low-land tropical,12~ 15
3,Zanzibar Gem,20 years,Every 2-4 weeks,Small amount of fluorecent light,tropical,0.6~ 0.9
4,Jade plant,>10 years,Moist soil always,Preferably every day,warm,<1.5
5,Dracaena triascata,5-10 years,Wait till the top layer of soil dry,Filtered indoor light,tropical,0.7~ 0.9
6,Spider plant,2-5 years,"Every day, liberally",Preferably direct sunlight,tropical,0.6
7,Chinese evergreens,<25 years,Wait till soil dryout,Preferably sunlight but can survive with fluorecent light,sub-tropical,1.2
8,Rubber fig,25-50 years,Moist soil always,Bright indirect sunlight,tropical,<3
9,Sword fern,>5 years,Daily,2 hours sunlight per day,tropical,0.4~0.9
10,Philodendorn,70-100 years,Moist soil always,Bright indirect sunlight,tropical,0.9
11,Common ivy,<25 years,Wait till soil dryout,Medium to low light,winter,1.27~2.54
12,Areca palm,10 years,Every 2-3 days,Preferably low sunlight,sub-tropical,4.5~6
13,Aspidistra elatior,50 years,Moist soil always,Preferably low sunlight,high cold tolerance,0.94
14,Lace Leaf,5 years,Every 2-3 days,indirect light,mild climate,0.38~0.58
15,Devil's ivy,5-10 years,Every 5-7 days,indirect light,mild climate,20
16,Weeping fig,10-15 years,Wait till soil dryout,indirect light,mild climate,29
17,Dumb canes,5-10 years,Wait till soil dry mostly,diffused sunlight/partial shade,sub-tropical,1.5
18,African violets,50 years,Wait till the top layer of soil dry,strong indoor light/indirect light,tropical,0.02~0.4
19,Garden croton,25-50 years,Moist soil always,Bright indirect sunlight,mild climate,0.9
20,Sprenger's asparagus,<2 years,Moist soil always,strong light,tropical,0.7
21,Lucky bamboo,1-5 years,once per week,bright indirect light,sub-tropical,0.91
22,Radiator plants,50 years,Wait till soil dryout,bright indirect light,mild climate,0.3
23,Calatheas,2-3 years,Wait till the top layer of soil dry,indirect light,tropical,0.6
24,Swiss cheese plant,>3 years,Wait till the top layer of soil dry,Preferably plenty of light but can bear low light,tropical,3
25,Birds nest fern,1.8 years,Moist soil always,Medium to low light,tropical,0.6
26,Chamaedorea elegans,<25 years,Moist soil always,Preferably plenty of light but can bear low light,tropical,1.8~2
27,Schlumbergera,>20 years,Every 2-3 days,Bright indirect sunlight,mild climate,0.15~0.3
28,Zebra plant,<1 year,Wait till the top layer of soil dry,Bright indirect sunlight,mild climate,0.3~0.6
29,Chinese money plant,>3 years,Wait till soil dry mostly,Bright indirect sunlight,sub-tropical,0.2~0.3
30,Bunny ears cactus,>25years,Every 3-4 weeks,Bright direct sunlight,mild climate,0.6
31,Begonia,2-3 years,Wait till the top layer of soil dry,Bright direct sunlight,sub-tropical,0.45
32,Ponytail palm,10-100years,Every 2-3 weeks,Bright indirect sunlight,mild climate,6
33,Florist Kalanchoe,>1 year,Every 2-3 weeks,indirect light,sub-tropical,8.5
34,Alocasia,<15 years,Wait till the top layer of soil dry,bright indirect light,mild climate,1.2
35,Bromeliads,2~5 years,once per week,bright indirect light,mild climate,0.5~2.4
36,String of pearls,5 years,Wait till the top layer of soil dry,bright indirect light,sub-tropical,0.6~ 0.9
37,Dracaena,2~3 years,Wait till soil dry mostly,diffused light,sub-tropical,0.9
38,Maranta leuconeura,2~3 years,Moist soil always,Bright indirect sunlight,mild climate,0.2~0.3
39,Moth orchids,3~100 years,once per week,bright indirect light,mild climate,0.3
40,Crown of thorns,4~50 years,Wait till the top layer of soil dry,strong light,mild climate,1~2
41,Dwarf umbrella tree,50 years,Wait till the top layer of soil dry,bright indirect light,sub-tropical,3~7.6
42,Peacock plant,>25 years,Moist soil always,low light,mild climate,0.6
